Pais,NumCit,Programa
Estados Unidos,41,385
Brasil,33,385
Argentina,21,385
Bolívia,18,385
Alemanha,17,385
França,14,385
Etiópia,11,385
Israel,11,385
México,11,385
Espanha,10,385
Turquia,10,385
Rússia,9,385
Equador,9,385
China,8,385
Somália,8,385
Peru,8,385
Panamá,8,385
Japão,7,385
Uruguai,7,385
Vanuatu,6,385
Cuba,5,385
Belize,5,385
Síria,5,385
Austrália,5,385
Kuwait,5,385
Chile,4,385
Paraguai,4,385
Suécia,4,385
Noruega,4,385
África do Sul,3,385
Irã,3,385
Venezuela,3,385
Itália,3,385
República Democrática do Congo,2,385
Irlanda,2,385
Canadá,2,385
Honduras,2,385
Ucrânia,2,385
Nova Zelândia,2,385
Guatemala,1,385
Gabão,1,385
Colômbia,1,385
Barbados,1,385
Granada,1,385
Níger,1,385
Mauritânia,1,385
Polônia,1,385
Paquistão,1,385
Portugal,1,385
Ruanda,1,385
Senegal,1,385
Serra Leoa,1,385
Sudão,1,385
Palestina,1,385
França,51,386
Estados Unidos,32,386
Rússia,26,386
Brasil,23,386
China,22,386
Argentina,18,386
Turquia,16,386
Bolívia,15,386
Irã,14,386
Ruanda,13,386
Israel,10,386
Polônia,9,386
Etiópia,8,386
Venezuela,8,386
Espanha,7,386
Síria,6,386
Índia,6,386
Alemanha,6,386
Japão,4,386
Colômbia,4,386
Peru,4,386
Palestina,3,386
Sudão,3,386
Paraguai,3,386
República Democrática do Congo,3,386
Itália,3,386
Hungria,3,386
Canadá,2,386
Equador,2,386
Uganda,2,386
Filipinas,2,386
Mali,2,386
Chile,2,386
Granada,2,386
México,2,386
África do Sul,1,386
Burkina Faso,1,386
El Salvador,1,386
Maurício,1,386
Estônia,1,386
Gabão,1,386
Portugal,1,386
Noruega,1,386
Samoa,1,386
Ucrânia,1,386
Estados Unidos,83,387
Argentina,56,387
Brasil,30,387
Palestina,17,387
China,16,387
França,15,387
Rússia,15,387
Israel,12,387
Uruguai,12,387
Bangladesh,11,387
Alemanha,10,387
Chile,9,387
México,9,387
Espanha,7,387
Egito,6,387
Costa Rica,5,387
Paquistão,4,387
Japão,4,387
Turquia,4,387
Emirados Árabes Unidos,4,387
Bolívia,4,387
Colômbia,4,387
Ucrânia,4,387
Venezuela,4,387
Peru,3,387
Jordânia,3,387
Nepal,3,387
Maurício,3,387
Paraguai,3,387
Estônia,2,387
Irã,2,387
Síria,2,387
Portugal,2,387
Guiné,2,387
Canadá,2,387
Austrália,2,387
El Salvador,2,387
Irlanda,2,387
Itália,2,387
Letônia,2,387
Barbados,1,387
Belize,1,387
Cuba,1,387
Honduras,1,387
Guiné-Bissau,1,387
Jamaica,1,387
Marrocos,1,387
Malta,1,387
Mali,1,387
Polônia,1,387
Tanzânia,1,387
Uganda,1,387
Vanuatu,1,387
Taiwan,1,387
Estados Unidos,60,388
Israel,55,388
Palestina,28,388
Brasil,26,388
França,20,388
Argentina,17,388
Rússia,16,388
Venezuela,14,388
Irã,14,388
China,14,388
Bangladesh,14,388
Sudão,9,388
Colômbia,9,388
Filipinas,8,388
Emirados Árabes Unidos,8,388
Polônia,8,388
Alemanha,8,388
Azerbaijão,7,388
Chile,7,388
Japão,6,388
Egito,5,388
Guatemala,5,388
África do Sul,4,388
Uruguai,4,388
Paraguai,4,388
Índia,3,388
Jordânia,3,388
Bolívia,2,388
Canadá,2,388
Mali,2,388
Tunísia,2,388
Romênia,2,388
Peru,2,388
Dinamarca,1,388
Cuba,1,388
Espanha,1,388
Etiópia,1,388
Lituânia,1,388
Lesoto,1,388
Paquistão,1,388
Nova Zelândia,1,388
Uganda,1,388
Turquia,1,388
Vietnã,1,388
Taiwan,1,388
Estados Unidos,93,389
Venezuela,89,389
Brasil,61,389
Israel,50,389
China,29,389
Rússia,29,389
Turquia,27,389
Chile,19,389
Peru,17,389
Irã,16,389
Argentina,15,389
França,15,389
Japão,14,389
Colômbia,11,389
Síria,9,389
Bolívia,9,389
Sudão,9,389
Espanha,8,389
Itália,8,389
México,7,389
Barbados,7,389
Guatemala,6,389
Marrocos,5,389
Cuba,5,389
Filipinas,4,389
Palestina,4,389
Iraque,4,389
Líbano,4,389
Ucrânia,3,389
Panamá,3,389
Alemanha,3,389
Sudão do Sul,2,389
Noruega,2,389
Dinamarca,2,389
Uruguai,2,389
República Democrática do Congo,2,389
Angola,2,389
Bangladesh,1,389
Austrália,1,389
Afeganistão,1,389
Benin,1,389
Etiópia,1,389
Costa Rica,1,389
Canadá,1,389
Índia,1,389
Honduras,1,389
Guiné,1,389
Guiana,1,389
Granada,1,389
Irlanda,1,389
Jamaica,1,389
Jordânia,1,389
Laos,1,389
Mali,1,389
Portugal,1,389
Polônia,1,389
Ruanda,1,389
Suíça,1,389
Vaticano,1,389
Vanuatu,1,389
Estados Unidos,90,390
Bangladesh,66,390
China,36,390
Venezuela,33,390
Índia,32,390
Brasil,26,390
Israel,24,390
Paquistão,24,390
Chile,19,390
Japão,16,390
Argentina,12,390
México,11,390
França,8,390
Uruguai,8,390
Azerbaijão,8,390
Taiwan,8,390
Turquia,7,390
Colômbia,6,390
Dominica,6,390
Espanha,6,390
Irã,6,390
Rússia,6,390
Peru,5,390
Palestina,4,390
Jordânia,4,390
El Salvador,3,390
República Democrática do Congo,3,390
Bolívia,3,390
Alemanha,3,390
Maldivas,3,390
Cabo Verde,3,390
Portugal,2,390
Austrália,2,390
Cuba,2,390
Hungria,2,390
Filipinas,2,390
Somália,2,390
Vanuatu,2,390
Nepal,2,390
Mali,2,390
Egito,1,390
África do Sul,1,390
Maurício,1,390
Madagascar,1,390
Estônia,1,390
Panamá,1,390
Suíça,1,390
Ruanda,1,390
Ucrânia,1,390
Tunísia,1,390
Estados Unidos,61,391
Brasil,52,391
China,36,391
Venezuela,27,391
Rússia,21,391
Israel,17,391
Japão,14,391
Chile,14,391
Irã,14,391
Argentina,14,391
Uruguai,14,391
França,13,391
Paraguai,11,391
Alemanha,9,391
Taiwan,8,391
Índia,7,391
Bangladesh,7,391
Indonésia,6,391
Palestina,6,391
Austrália,6,391
Cuba,6,391
Filipinas,6,391
Albânia,5,391
Espanha,5,391
Kiribati,5,391
Mali,5,391
Uganda,4,391
Polônia,4,391
Peru,4,391
Guatemala,4,391
Bolívia,4,391
México,4,391
Suécia,3,391
Canadá,3,391
Itália,3,391
Emirados Árabes Unidos,3,391
Croácia,3,391
Turquia,3,391
Afeganistão,2,391
Ucrânia,2,391
Sudão,2,391
Colômbia,2,391
Romênia,2,391
Portugal,2,391
Panamá,2,391
Brunei,2,391
Dinamarca,2,391
Camarões,1,391
Belize,1,391
Equador,1,391
Butão,1,391
Dominica,1,391
Egito,1,391
Iraque,1,391
