Pais,NumCit
Estados Unidos,1315
Brasil,942
Israel,835
China,453
Rússia,432
Argentina,423
Venezuela,394
França,285
Irã,252
Índia,249
Turquia,212
Alemanha,196
Chile,189
México,173
Peru,155
Uruguai,154
Líbano,149
Colômbia,149
Japão,147
Palestina,147
Ucrânia,145
Síria,141
Bolívia,138
Bangladesh,136
Canadá,127
Espanha,104
Paraguai,88
Armênia,85
Egito,73
Austrália,73
Itália,73
Paquistão,63
África do Sul,62
Sudão,59
Irlanda,54
Polônia,54
Cuba,51
Equador,51
Mongólia,47
Somália,47
Nicarágua,44
Jordânia,42
Portugal,42
Filipinas,41
Taiwan,37
Albânia,35
Etiópia,35
Indonésia,35
Emirados Árabes Unidos,34
Azerbaijão,33
República Democrática do Congo,33
Afeganistão,29
Coréia do Sul,29
Guatemala,28
Noruega,27
Líbia,26
Suíça,26
Iraque,24
Maurício,24
Panamá,23
Nigéria,23
Vanuatu,22
Suécia,22
Tailândia,22
Áustria,21
Finlândia,21
Ruanda,20
Nova Zelândia,20
Coréia do Norte,20
Guiné,20
Mali,20
Grécia,19
Kiribati,19
Singapura,18
Tunísia,18
Romênia,17
Angola,16
Hungria,16
Timor Leste,16
Islândia,16
Dinamarca,15
Nepal,15
Marrocos,15
Uganda,15
Barbados,15
Bósnia,14
Guiana,13
El Salvador,13
Honduras,12
Bulgária,11
Sudão do Sul,10
Namíbia,10
Níger,10
Dominica,10
Jamaica,10
Senegal,9
Gabão,9
Belize,9
Vaticano,9
Maldivas,9
Moçambique,8
Tonga,8
Costa Rica,8
Cabo Verde,8
Camarões,7
Inglaterra,7
Estônia,7
Tuvalu,7
Letônia,6
Sri Lanka,6
Lituânia,6
Granada,5
Zâmbia,5
Kuwait,5
Samoa,5
Kosovo,5
Brunei,4
Groenlândia,4
Macedônia do Norte,4
Bélgica,4
Chade,4
Laos,3
Nauru,3
Croácia,3
Tanzânia,3
Malásia,3
Argélia,3
Sahara Ocidental,3
Burundi,3
Gâmbia,3
Burkina Faso,2
Luxemburgo,2
Mauritânia,2
Benin,2
Palau,2
Butão,2
Madagascar,2
Haiti,1
Gana,1
Guadalupe,1
Ilhas Malvinas,1
Lesoto,1
Vietnã,1
Arábia Saudita,1
República do Congo,1
Libéria,1
Turcomenistão,1
Trinidad e Tobago,1
Micronésia,1
Montenegro,1
Chipre,1
Serra Leoa,1
Quênia,1
Malta,1
