Pais,NumProgramas
Argentina,21
Alemanha,21
Bolívia,21
Brasil,21
Israel,21
França,21
Espanha,21
Estados Unidos,21
China,21
Chile,21
Rússia,21
Irã,21
Ucrânia,21
Venezuela,21
Índia,20
México,20
Palestina,20
Turquia,20
Colômbia,20
Japão,19
Canadá,19
Uruguai,19
Peru,18
Líbano,17
Itália,17
Austrália,16
Síria,16
Sudão,16
Paraguai,16
Armênia,16
Egito,16
Portugal,15
Polônia,14
África do Sul,14
Taiwan,13
Equador,13
Jordânia,13
Paquistão,13
Filipinas,13
República Democrática do Congo,13
Nicarágua,12
Áustria,12
Bangladesh,12
Afeganistão,12
Cuba,12
Mali,11
Somália,11
Noruega,11
Maurício,11
Nigéria,10
Panamá,10
Indonésia,10
Emirados Árabes Unidos,10
Etiópia,10
Grécia,9
Suíça,9
Vanuatu,9
Nova Zelândia,9
Dinamarca,9
Coréia do Sul,9
Líbia,9
Irlanda,9
Iraque,9
Jamaica,8
Uganda,8
Tunísia,8
Coréia do Norte,8
Marrocos,8
Guatemala,8
Hungria,8
Ruanda,7
Nepal,7
Guiné,7
Barbados,7
Albânia,7
Suécia,7
Gabão,7
Senegal,6
El Salvador,6
Níger,6
Angola,6
Romênia,5
Mongólia,5
Honduras,5
Kiribati,5
Belize,5
Bulgária,5
Azerbaijão,5
Vaticano,5
Samoa,5
Estônia,5
Sudão do Sul,5
Inglaterra,5
Islândia,4
Finlândia,4
Costa Rica,4
Guiana,4
Granada,4
Tailândia,4
Camarões,4
Bósnia,4
Singapura,4
Namíbia,4
Tuvalu,4
Timor Leste,4
Brunei,3
Zâmbia,3
Tonga,3
Sri Lanka,3
Moçambique,3
Maldivas,3
Laos,3
Malásia,3
Cabo Verde,3
Kosovo,3
Groenlândia,3
Dominica,3
Lituânia,3
Letônia,3
Benin,2
Argélia,2
Bélgica,2
Madagascar,2
Burkina Faso,2
Butão,2
Burundi,2
Mauritânia,2
Nauru,2
Palau,2
Tanzânia,2
Luxemburgo,2
Gâmbia,2
Chade,2
Arábia Saudita,1
Croácia,1
Chipre,1
Gana,1
Guadalupe,1
Malta,1
Macedônia do Norte,1
Lesoto,1
Libéria,1
Kuwait,1
Haiti,1
Ilhas Malvinas,1
Montenegro,1
Sahara Ocidental,1
República do Congo,1
Quênia,1
Micronésia,1
Serra Leoa,1
Turcomenistão,1
Trinidad e Tobago,1
Vietnã,1
