programa,start_segment,end_segment,pais1,pais2,pais_par
385,826.0,835.0,Etiópia,Somália,"('Etiópia', 'Somália')"
385,863.0,867.0,Etiópia,Somália,"('Etiópia', 'Somália')"
385,945.0,951.0,Etiópia,Turquia,"('Etiópia', 'Turquia')"
385,951.0,957.0,Etiópia,Somália,"('Etiópia', 'Somália')"
385,963.0,972.0,Etiópia,Somália,"('Etiópia', 'Somália')"
385,1182.0,1185.0,Brasil,Japão,"('Brasil', 'Japão')"
385,1604.0,1624.0,China,Rússia,"('China', 'Rússia')"
385,1791.0,1810.0,Síria,Turquia,"('Síria', 'Turquia')"
385,1828.0,1856.0,Alemanha,Suécia,"('Alemanha', 'Suécia')"
385,1882.0,1899.0,Alemanha,Síria,"('Alemanha', 'Síria')"
385,2701.0,2714.0,Rússia,Suécia,"('Rússia', 'Suécia')"
385,2768.0,2784.0,Polônia,Suécia,"('Polônia', 'Suécia')"
385,2847.0,2860.0,Brasil,Equador,"('Brasil', 'Equador')"
385,3021.0,3027.0,Estados Unidos,México,"('Estados Unidos', 'México')"
385,3556.0,3581.0,Argentina,Bolívia,"('Argentina', 'Bolívia')"
385,4016.0,4020.0,Argentina,Bolívia,"('Argentina', 'Bolívia')"
385,5269.0,5273.0,Espanha,Estados Unidos,"('Espanha', 'Estados Unidos')"
385,5495.0,5498.0,Argentina,Brasil,"('Argentina', 'Brasil')"
385,5696.0,5701.0,Brasil,China,"('Brasil', 'China')"
385,5710.0,5715.0,Brasil,China,"('Brasil', 'China')"
385,6096.0,6102.0,Canadá,Gabão,"('Canadá', 'Gabão')"
385,6187.0,6192.0,Brasil,Peru,"('Brasil', 'Peru')"
385,6448.0,6452.0,Chile,Japão,"('Chile', 'Japão')"
385,6640.0,6645.0,Argentina,Equador,"('Argentina', 'Equador')"
385,7006.0,7010.0,Colômbia,Panamá,"('Colômbia', 'Panamá')"
385,7023.0,7028.0,Estados Unidos,Panamá,"('Estados Unidos', 'Panamá')"
385,7044.0,7049.0,Estados Unidos,México,"('Estados Unidos', 'México')"
385,7499.0,7502.0,Cuba,Estados Unidos,"('Cuba', 'Estados Unidos')"
385,9510.48,9512.48,Israel,Palestina,"('Israel', 'Palestina')"
385,10298.48,10302.48,Alemanha,Noruega,"('Alemanha', 'Noruega')"
385,10520.48,10523.48,Alemanha,França,"('Alemanha', 'França')"
385,10700.48,10713.48,Alemanha,Itália,"('Alemanha', 'Itália')"
385,10816.48,10831.48,Itália,Rússia,"('Itália', 'Rússia')"
385,10988.48,10996.48,Rússia,Turquia,"('Rússia', 'Turquia')"
386,337.04,344.08,Etiópia,Sudão,"('Etiópia', 'Sudão')"
386,347.32,352.8,Etiópia,Sudão,"('Etiópia', 'Sudão')"
386,759.76,769.0,Israel,Palestina,"('Israel', 'Palestina')"
386,782.6,791.24,Síria,Turquia,"('Síria', 'Turquia')"
386,822.24,829.92,Síria,Turquia,"('Síria', 'Turquia')"
386,837.84,847.04,Síria,Turquia,"('Síria', 'Turquia')"
386,951.84,957.84,Argentina,Brasil,"('Argentina', 'Brasil')"
386,951.84,957.84,Argentina,Turquia,"('Argentina', 'Turquia')"
386,951.84,957.84,Brasil,Turquia,"('Brasil', 'Turquia')"
386,5646.06,5650.06,Argentina,Brasil,"('Argentina', 'Brasil')"
386,5854.06,5861.06,Bolívia,Brasil,"('Bolívia', 'Brasil')"
386,5959.06,5964.06,Bolívia,Brasil,"('Bolívia', 'Brasil')"
386,6024.06,6031.06,Bolívia,Brasil,"('Bolívia', 'Brasil')"
386,6138.06,6144.06,Burkina Faso,Gabão,"('Burkina Faso', 'Gabão')"
386,7342.06,7348.06,Equador,Peru,"('Equador', 'Peru')"
386,7361.06,7365.06,Equador,Espanha,"('Equador', 'Espanha')"
386,8664.06,8673.06,Brasil,Rússia,"('Brasil', 'Rússia')"
386,9003.06,9028.06,Estados Unidos,Polônia,"('Estados Unidos', 'Polônia')"
386,9039.06,9057.06,Estados Unidos,Polônia,"('Estados Unidos', 'Polônia')"
386,9067.06,9077.06,Estados Unidos,Polônia,"('Estados Unidos', 'Polônia')"
386,9203.06,9224.06,Estados Unidos,Rússia,"('Estados Unidos', 'Rússia')"
386,9449.06,9476.06,China,Rússia,"('China', 'Rússia')"
386,9505.06,9511.06,China,Rússia,"('China', 'Rússia')"
386,9512.06,9529.06,China,Rússia,"('China', 'Rússia')"
386,9700.06,9716.06,Alemanha,Estados Unidos,"('Alemanha', 'Estados Unidos')"
386,9741.06,9761.06,Canadá,Estados Unidos,"('Canadá', 'Estados Unidos')"
386,9761.06,9777.06,China,Rússia,"('China', 'Rússia')"
386,9787.06,9795.06,Noruega,Rússia,"('Noruega', 'Rússia')"
386,9795.06,9806.06,Rússia,Índia,"('Rússia', 'Índia')"
386,9976.06,9985.06,China,Rússia,"('China', 'Rússia')"
386,9985.06,9992.06,China,Índia,"('China', 'Índia')"
386,10000.06,10004.06,China,Rússia,"('China', 'Rússia')"
386,10878.06,10887.06,Brasil,França,"('Brasil', 'França')"
386,11149.06,11157.06,Espanha,Portugal,"('Espanha', 'Portugal')"
386,11218.06,11222.06,Espanha,França,"('Espanha', 'França')"
386,11374.06,11381.06,República Democrática do Congo,Uganda,"('República Democrática do Congo', 'Uganda')"
