start_segment,end_segment,text
0.0,4.0,O Podiqueche que você ouve agora uma produção da Centra III.
4.0,16.4,Começa agora ao Chadreis Verbal.
16.4,26.04,"Bom crepúsculo ouvinte da Centra III está começando mais uma edição do Chadreis Verbal,"
26.04,32.64,a sua revista semanal de política internacional em formato Podiqueche.
32.64,37.16,"Meu nome Matias Pinto como sempre estou ao lado dele, meu amigo e companheiro,"
37.16,41.8,"Felipe Nobre-Figueiredo, o homem por trás do tabuleiro."
41.8,44.68,"Olá, meu caro Matias, olá todos nós ouvintes,"
44.68,48.56,olá todo mundo que nos houve nos prestigir nos divulgamos toleros nos anos deseja.
48.56,56.6,"Desqui nos odeia, mais ou nos tira novido, chegando aqui a edição de número 3-8-Meia,"
56.6,59.6,"ou seja, essa edição Roda of Einstein."
59.6,68.16,A edição de número 3-8-Meia do programa estamos gravando a maior parte desse programa na noite da quinta-feira
68.16,73.24,de a 11 de julho e meu caro Matias.
73.24,80.64,"No começo, nós costumamos falar mais de correções, de comentários que trouxeram informações"
80.64,87.16,"novas, eu corrigi informações erradas que passamos aqui e queria me referir o fato"
87.16,94.8,"que várias pessoas não vão protestar, mas comentaram que a gente não repercutiu na última"
94.8,102.16,"semana na história a revolta paulista de 1924, que começa no dia 5 de julho."
102.16,108.04,"É o último vez que nós temos combates na cidade de São Paulo, inclusive, e que é origem"
108.04,109.72,da Coluna Prestes.
109.72,115.22,"Então, pedimos perdão pelo vacilo, mas ainda dá para falar da Coluna Prestes, mas já que a"
115.22,117.92,revolta paulista de 1924 vai até o fim do mês.
117.92,122.68,"Então, ainda dá para a gente equilibrar mais de fato a gente como eu bola no dia 5 de julho,"
122.68,127.28,"já que é o centenário, é uma data bastante redonda, bastante importante."
127.28,130.56,"Então, a gente pede desculpas pelo vacilo."
130.56,135.72,"É isso, passamos agora para o primeiro bloco do giro de notícias."
160.56,172.2,"Notícia do sábado passado de a 6 de julho, líderes militares do Niger, Mali e Burkina"
172.2,175.72,passo assinam o novo pacto.
175.72,184.92,"Exatamente, tivemos uma cúpula das três lideranças militares, ferralizada em Niamém,"
184.92,194.08,"capital do Niger, no último sábado, e foi assinada a aliança dos estados do Sahel,"
194.08,203.8,"que ela surge como um pacto de defesa coletivo, ou seja, se algum país atacar um desses três,"
203.8,207.56,"os três vão partir em defesa, e isso é..."
207.56,208.8,É o tear deles.
208.8,218.44,"É o tear deles, e isso é feito em reação as agora menores, mas logo depois do golpe"
218.44,225.92,"no Niger, a comunidade de estados da África Ocidental, a CDL, ela falou, olha só, a gente"
225.92,232.2,"pode estabelecer uma força de paz, mandar uma força militar para derrubar as juntas militares,"
232.2,238.6,derrubar e tirar esses golpistas do poder e restaurar o poder civil.
238.6,247.32,"Então, surge como uma reação a isso, porém, tem uma outra questão interessante, que é o"
247.32,254.56,"objetivo deles declarado, quando digo declarado, é tanto para deixar que fosse explícito por"
254.56,261.4,"eles, não há uma leitura minha ou de alguém, e ao mesmo tempo é declarado, ainda não está concretizado,"
261.4,268.36,"é criar uma confederação, ou seja, é expandir a união em temas,"
268.36,273.44,"internacionais, de defesa, entre esses três países."
273.44,280.32,"E o Joseph Borrell, que é o chefe da diplomacia da União Europeia, ainda por algumas semanas,"
280.32,286.96,"que a pouco vai ser substituído pela Calas da Estônia, mas ele disse que isso estabelece uma nova"
286.96,291.16,configuração gel política na África Ocidental.
291.16,296.04,Está citamente reconhecendo que não tem mais como reverter esse processo.
296.04,304.8,"E ainda no continente africano, o meu caro Matias, o premiedade Opel, o Abier Med,"
304.8,313.4,"o nobe da paz, ele se encontrou essa semana com o ditador, barra, comandante do exército"
313.4,323.32,"Sudanes, o Alburham, para conversarem sobre o estabelecimento de paz e segurança na região."
323.32,330.36,"O Abier Med foi até o Sudão para se encontrar com o Alburham, lembrando, a guerra civil"
330.36,337.04,"Sudanesa já passa de um ano de duração, é uma guerra que envolve também muitos"
337.04,344.08,"interesses estrangeiros no Sudão, e qual é o interesse então da Etiópia, intentar"
344.08,347.32,agora fazer um esforço para a mediação?
347.32,352.8,"A Etiópia e o Sudão, vamos lembrar, não são países tão próximos assim, já tiveram"
352.8,359.96,"escaramussas, fronteristas no seu histórico, já tiveram ocupações de território um pelo"
359.96,368.64,"outro, são países que estão em lados opostos na disputa pelas águas do nilo, porém a"
368.64,376.12,"Etiópia agora ligou uma larme, porque muitos Sudaneses estão fugindo para Etiópia, estão"
376.12,383.68,"buscando refúgio na Etiópia, e a Etiópia que passou também por um conflito interno recentemente,"
